year,flat_type,town,remain_leaseyears,rounded_lease,resale_price
2022,1 ROOM,BUKIT MERAH,51.0,50.0,234444.0
2022,1 ROOM,BUKIT MERAH,52.0,50.0,230000.0
2022,2 ROOM,ANG MO KIO,54.0,55.0,270000.0
2022,2 ROOM,ANG MO KIO,55.0,55.0,240944.0
2022,2 ROOM,ANG MO KIO,56.0,55.0,257500.0
2022,2 ROOM,ANG MO KIO,57.0,55.0,290788.0
2022,2 ROOM,ANG MO KIO,62.0,60.0,286000.0
2022,2 ROOM,ANG MO KIO,63.0,65.0,285000.0
2022,2 ROOM,BEDOK,55.0,55.0,257500.0
2022,2 ROOM,BEDOK,56.0,55.0,265000.0
2022,2 ROOM,BEDOK,62.0,60.0,293000.0
2022,2 ROOM,BEDOK,63.0,65.0,260000.0
2022,2 ROOM,BEDOK,93.0,95.0,335000.0
2022,2 ROOM,BEDOK,94.0,95.0,340000.0
2022,2 ROOM,BUKIT MERAH,44.0,45.0,250000.0
2022,2 ROOM,BUKIT MERAH,46.0,45.0,260000.0
2022,2 ROOM,BUKIT MERAH,47.0,45.0,300000.0
2022,2 ROOM,BUKIT MERAH,48.0,50.0,249000.0
2022,2 ROOM,BUKIT MERAH,49.0,50.0,235000.0
2022,2 ROOM,BUKIT MERAH,50.0,50.0,491000.0
2022,2 ROOM,BUKIT MERAH,52.0,50.0,270000.0
2022,2 ROOM,BUKIT MERAH,53.0,55.0,267500.0
2022,2 ROOM,BUKIT MERAH,54.0,55.0,265000.0
2022,2 ROOM,BUKIT MERAH,55.0,55.0,235000.0
2022,2 ROOM,BUKIT MERAH,89.0,90.0,465000.0
2022,2 ROOM,CLEMENTI,56.0,55.0,290000.0
2022,2 ROOM,CLEMENTI,90.0,90.0,385944.0
2022,2 ROOM,CLEMENTI,91.0,90.0,346000.0
2022,2 ROOM,GEYLANG,44.0,45.0,253000.0
2022,2 ROOM,GEYLANG,45.0,45.0,231500.0
2022,2 ROOM,GEYLANG,46.0,45.0,239000.0
2022,2 ROOM,GEYLANG,47.0,45.0,253000.0
2022,2 ROOM,GEYLANG,48.0,50.0,240000.0
2022,2 ROOM,GEYLANG,50.0,50.0,265000.0
2022,2 ROOM,GEYLANG,55.0,55.0,239999.0
2022,2 ROOM,GEYLANG,63.0,65.0,238000.0
2022,2 ROOM,KALLANG/WHAMPOA,47.0,45.0,272000.0
2022,2 ROOM,KALLANG/WHAMPOA,58.0,60.0,288000.0
2022,2 ROOM,PASIR RIS,71.0,70.0,270000.0
2022,2 ROOM,PASIR RIS,92.0,90.0,332500.0
2022,2 ROOM,PASIR RIS,93.0,95.0,340000.0
2022,2 ROOM,QUEENSTOWN,43.0,45.0,252500.0
2022,2 ROOM,QUEENSTOWN,44.0,45.0,255000.0
2022,2 ROOM,QUEENSTOWN,45.0,45.0,250000.0
2022,2 ROOM,QUEENSTOWN,53.0,55.0,270000.0
2022,2 ROOM,QUEENSTOWN,89.0,90.0,430000.0
2022,2 ROOM,QUEENSTOWN,90.0,90.0,335000.0
2022,2 ROOM,QUEENSTOWN,91.0,90.0,390000.0
2022,2 ROOM,QUEENSTOWN,92.0,90.0,399000.0
2022,2 ROOM,SERANGOON,55.0,55.0,261500.0
2022,2 ROOM,TAMPINES,89.0,90.0,318000.0
2022,2 ROOM,TAMPINES,90.0,90.0,329500.0
2022,2 ROOM,TAMPINES,91.0,90.0,330000.0
2022,2 ROOM,TAMPINES,92.0,90.0,326000.0
2022,2 ROOM,TOA PAYOH,44.0,45.0,260000.0
2022,2 ROOM,TOA PAYOH,45.0,45.0,268000.0
2022,2 ROOM,TOA PAYOH,49.0,50.0,240000.0
2022,2 ROOM,TOA PAYOH,60.0,60.0,275000.0
