year,flat_type,town,remain_leaseyears,rounded_lease,resale_price
2022,1 ROOM,BUKIT MERAH,51.0,50.0,234444.0
2022,1 ROOM,BUKIT MERAH,52.0,50.0,230000.0
2022,2 ROOM,ANG MO KIO,54.0,55.0,267000.0
2022,2 ROOM,ANG MO KIO,55.0,55.0,242629.0
2022,2 ROOM,ANG MO KIO,56.0,55.0,257500.0
2022,2 ROOM,ANG MO KIO,57.0,55.0,286255.0
2022,2 ROOM,ANG MO KIO,62.0,60.0,286000.0
2022,2 ROOM,ANG MO KIO,63.0,65.0,285000.0
2022,2 ROOM,BEDOK,55.0,55.0,262167.0
2022,2 ROOM,BEDOK,56.0,55.0,260000.0
2022,2 ROOM,BEDOK,62.0,60.0,293000.0
2022,2 ROOM,BEDOK,63.0,65.0,255857.0
2022,2 ROOM,BEDOK,93.0,95.0,335000.0
2022,2 ROOM,BEDOK,94.0,95.0,340000.0
2022,2 ROOM,BUKIT MERAH,44.0,45.0,250000.0
2022,2 ROOM,BUKIT MERAH,46.0,45.0,260000.0
2022,2 ROOM,BUKIT MERAH,47.0,45.0,300000.0
2022,2 ROOM,BUKIT MERAH,48.0,50.0,252250.0
2022,2 ROOM,BUKIT MERAH,49.0,50.0,235000.0
2022,2 ROOM,BUKIT MERAH,50.0,50.0,449250.0
2022,2 ROOM,BUKIT MERAH,52.0,50.0,274333.0
2022,2 ROOM,BUKIT MERAH,53.0,55.0,267500.0
2022,2 ROOM,BUKIT MERAH,54.0,55.0,265000.0
2022,2 ROOM,BUKIT MERAH,55.0,55.0,235000.0
2022,2 ROOM,BUKIT MERAH,89.0,90.0,465000.0
2022,2 ROOM,CLEMENTI,56.0,55.0,290000.0
2022,2 ROOM,CLEMENTI,90.0,90.0,384472.0
2022,2 ROOM,CLEMENTI,91.0,90.0,346000.0
2022,2 ROOM,GEYLANG,44.0,45.0,253000.0
2022,2 ROOM,GEYLANG,45.0,45.0,231500.0
2022,2 ROOM,GEYLANG,46.0,45.0,236722.0
2022,2 ROOM,GEYLANG,47.0,45.0,253000.0
2022,2 ROOM,GEYLANG,48.0,50.0,238111.0
2022,2 ROOM,GEYLANG,50.0,50.0,265000.0
2022,2 ROOM,GEYLANG,55.0,55.0,239999.0
2022,2 ROOM,GEYLANG,63.0,65.0,238000.0
2022,2 ROOM,KALLANG/WHAMPOA,47.0,45.0,273429.0
2022,2 ROOM,KALLANG/WHAMPOA,58.0,60.0,288000.0
2022,2 ROOM,PASIR RIS,71.0,70.0,270000.0
2022,2 ROOM,PASIR RIS,92.0,90.0,331250.0
2022,2 ROOM,PASIR RIS,93.0,95.0,340000.0
2022,2 ROOM,QUEENSTOWN,43.0,45.0,252500.0
2022,2 ROOM,QUEENSTOWN,44.0,45.0,252333.0
2022,2 ROOM,QUEENSTOWN,45.0,45.0,250000.0
2022,2 ROOM,QUEENSTOWN,53.0,55.0,270000.0
2022,2 ROOM,QUEENSTOWN,89.0,90.0,430000.0
2022,2 ROOM,QUEENSTOWN,90.0,90.0,335000.0
2022,2 ROOM,QUEENSTOWN,91.0,90.0,390000.0
2022,2 ROOM,QUEENSTOWN,92.0,90.0,399000.0
2022,2 ROOM,SERANGOON,55.0,55.0,262000.0
2022,2 ROOM,TAMPINES,89.0,90.0,318000.0
2022,2 ROOM,TAMPINES,90.0,90.0,329500.0
2022,2 ROOM,TAMPINES,91.0,90.0,326400.0
2022,2 ROOM,TAMPINES,92.0,90.0,326750.0
2022,2 ROOM,TOA PAYOH,44.0,45.0,261111.0
2022,2 ROOM,TOA PAYOH,45.0,45.0,259786.0
2022,2 ROOM,TOA PAYOH,49.0,50.0,240000.0
2022,2 ROOM,TOA PAYOH,60.0,60.0,271000.0
2022,3 ROOM,ANG MO KIO,52.0,50.0,355000.0
2022,3 ROOM,ANG MO KIO,53.0,55.0,357914.0
2022,3 ROOM,ANG MO KIO,54.0,55.0,369858.0
2022,3 ROOM,ANG MO KIO,55.0,55.0,377018.0
2022,3 ROOM,ANG MO KIO,56.0,55.0,367315.0
2022,3 ROOM,ANG MO KIO,57.0,55.0,361543.0
2022,3 ROOM,ANG MO KIO,58.0,60.0,359667.0
2022,3 ROOM,ANG MO KIO,61.0,60.0,356949.0
2022,3 ROOM,ANG MO KIO,62.0,60.0,345242.0
2022,3 ROOM,ANG MO KIO,63.0,65.0,349400.0
2022,3 ROOM,ANG MO KIO,71.0,70.0,308000.0
2022,3 ROOM,ANG MO KIO,89.0,90.0,550667.0
2022,3 ROOM,ANG MO KIO,93.0,95.0,504950.0
2022,3 ROOM,ANG MO KIO,94.0,95.0,589444.0
2022,3 ROOM,ANG MO KIO,95.0,95.0,603294.0
2022,3 ROOM,BEDOK,49.0,50.0,312899.0
2022,3 ROOM,BEDOK,50.0,50.0,338250.0
2022,3 ROOM,BEDOK,51.0,50.0,313833.0
2022,3 ROOM,BEDOK,52.0,50.0,362555.0
2022,3 ROOM,BEDOK,53.0,55.0,336486.0
2022,3 ROOM,BEDOK,54.0,55.0,348821.0
2022,3 ROOM,BEDOK,55.0,55.0,344096.0
2022,3 ROOM,BEDOK,56.0,55.0,357978.0
2022,3 ROOM,BEDOK,57.0,55.0,349648.0
2022,3 ROOM,BEDOK,58.0,60.0,365306.0
2022,3 ROOM,BEDOK,59.0,60.0,352315.0
2022,3 ROOM,BEDOK,60.0,60.0,346265.0
2022,3 ROOM,BEDOK,61.0,60.0,354500.0
2022,3 ROOM,BEDOK,62.0,60.0,354869.0
2022,3 ROOM,BEDOK,63.0,65.0,343080.0
2022,3 ROOM,BEDOK,64.0,65.0,329500.0
2022,3 ROOM,BEDOK,87.0,85.0,522000.0
2022,3 ROOM,BEDOK,91.0,90.0,558089.0
2022,3 ROOM,BEDOK,93.0,95.0,512400.0
2022,3 ROOM,BEDOK,94.0,95.0,506000.0
2022,3 ROOM,BISHAN,50.0,50.0,307000.0
2022,3 ROOM,BISHAN,51.0,50.0,296500.0
2022,3 ROOM,BISHAN,61.0,60.0,442545.0
2022,3 ROOM,BISHAN,62.0,60.0,460174.0
2022,3 ROOM,BISHAN,63.0,65.0,436000.0
2022,3 ROOM,BISHAN,64.0,65.0,461155.0
2022,3 ROOM,BISHAN,65.0,65.0,426000.0
2022,3 ROOM,BUKIT MERAH,44.0,45.0,311143.0
2022,3 ROOM,BUKIT MERAH,45.0,45.0,310000.0
2022,3 ROOM,BUKIT MERAH,46.0,45.0,328116.0
2022,3 ROOM,BUKIT MERAH,47.0,45.0,329731.0
2022,3 ROOM,BUKIT MERAH,48.0,50.0,332900.0
2022,3 ROOM,BUKIT MERAH,49.0,50.0,557296.0
2022,3 ROOM,BUKIT MERAH,50.0,50.0,506996.0
2022,3 ROOM,BUKIT MERAH,51.0,50.0,405429.0
2022,3 ROOM,BUKIT MERAH,52.0,50.0,338931.0
2022,3 ROOM,BUKIT MERAH,53.0,55.0,353486.0
2022,3 ROOM,BUKIT MERAH,54.0,55.0,387000.0
2022,3 ROOM,BUKIT MERAH,55.0,55.0,393250.0
2022,3 ROOM,BUKIT MERAH,56.0,55.0,353333.0
2022,3 ROOM,BUKIT MERAH,57.0,55.0,491000.0
2022,3 ROOM,BUKIT MERAH,58.0,60.0,456944.0
2022,3 ROOM,BUKIT MERAH,59.0,60.0,405314.0
2022,3 ROOM,BUKIT MERAH,60.0,60.0,357747.0
2022,3 ROOM,BUKIT MERAH,61.0,60.0,410667.0
2022,3 ROOM,BUKIT MERAH,65.0,65.0,405000.0
2022,3 ROOM,BUKIT MERAH,66.0,65.0,400000.0
2022,3 ROOM,BUKIT MERAH,67.0,65.0,375500.0
2022,3 ROOM,BUKIT MERAH,79.0,80.0,600000.0
2022,3 ROOM,BUKIT MERAH,85.0,85.0,622200.0
2022,3 ROOM,BUKIT MERAH,86.0,85.0,601441.0
2022,3 ROOM,BUKIT MERAH,89.0,90.0,598000.0
2022,3 ROOM,BUKIT MERAH,90.0,90.0,643820.0
2022,3 ROOM,BUKIT MERAH,92.0,90.0,746667.0
2022,3 ROOM,BUKIT MERAH,93.0,95.0,668194.0
2022,3 ROOM,BUKIT MERAH,94.0,95.0,613986.0
2022,3 ROOM,BUKIT MERAH,95.0,95.0,585500.0
2022,3 ROOM,BUKIT MERAH,96.0,95.0,708111.0
2022,3 ROOM,BUKIT TIMAH,50.0,50.0,400000.0
2022,3 ROOM,BUKIT TIMAH,51.0,50.0,456333.0
2022,3 ROOM,BUKIT TIMAH,53.0,55.0,403600.0
2022,3 ROOM,BUKIT TIMAH,66.0,65.0,456000.0
2022,3 ROOM,CLEMENTI,54.0,55.0,381486.0
2022,3 ROOM,CLEMENTI,55.0,55.0,380999.0
2022,3 ROOM,CLEMENTI,56.0,55.0,377036.0
2022,3 ROOM,CLEMENTI,57.0,55.0,366775.0
2022,3 ROOM,CLEMENTI,58.0,60.0,351152.0
2022,3 ROOM,CLEMENTI,59.0,60.0,335667.0
2022,3 ROOM,CLEMENTI,60.0,60.0,344400.0
2022,3 ROOM,CLEMENTI,61.0,60.0,341333.0
2022,3 ROOM,CLEMENTI,62.0,60.0,355000.0
2022,3 ROOM,CLEMENTI,79.0,80.0,488000.0
2022,3 ROOM,CLEMENTI,80.0,80.0,444250.0
2022,3 ROOM,CLEMENTI,90.0,90.0,589364.0
2022,3 ROOM,CLEMENTI,91.0,90.0,554222.0
2022,3 ROOM,CLEMENTI,92.0,90.0,550972.0
2022,3 ROOM,CLEMENTI,94.0,95.0,604921.0
2022,3 ROOM,CLEMENTI,95.0,95.0,588333.0
2022,3 ROOM,CLEMENTI,96.0,95.0,618888.0
2022,3 ROOM,GEYLANG,43.0,45.0,291000.0
2022,3 ROOM,GEYLANG,44.0,45.0,268761.0
2022,3 ROOM,GEYLANG,45.0,45.0,313700.0
2022,3 ROOM,GEYLANG,46.0,45.0,288261.0
